Vivado Simulator 2019.1
Time resolution is 1 ps
Time=895000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=905000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=915000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=925000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=935000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=945000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=955000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=965000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=975000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=985000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=995000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
